INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]317
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]318
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]319
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]320
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]321
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]322
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]323
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]324
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]325
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]326
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]327
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]328
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]329
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]330
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]331
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]332
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]333
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]334
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]335
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]336
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]337
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]338
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]339
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]340
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]341
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]342
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]343
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]344
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]345
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]346
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]347
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]348
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]349
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]350
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]351
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]352
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]353
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]354
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]355
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]356
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]357
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]358
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]359
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]360
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]361
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]362
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]363
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]364
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]365
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]366
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]367
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]368
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]369
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]370
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]371
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]372
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]373
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]374
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]375
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]376
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]377
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]378
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]379
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]380
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]381
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]382
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]383
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]384
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]385
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]386
INFO:1540133654[e:\repo\oneshot\oneshot\main.cpp : 26]387
